time_stamp,user_name,ip_address,prompt_tokens,completion_tokens,total_tokens,model,chat_id,user_agent
2024-09-29 03:22:17.698266,toddl,38.29.145.42,34,40,74,Qwen/Qwen2.5-72B-Instruct-GPTQ-Int4,chat-9bd12e8446ba420ba6ed6812056a8169,python-httpx/0.27.2
2024-09-29 03:23:03.317260,toddl,38.29.145.42,39,128,167,meta-llama/Meta-Llama-3-8B-Instruct,chat-183f2615bcf84d088b5cf796ccb79758,python-httpx/0.27.2
2024-09-29 03:40:34.724074,toddl,38.29.145.42,34,40,74,Qwen/Qwen2.5-72B-Instruct-GPTQ-Int4,chat-c1959788d4744f1fb43a673a1573a844,python-httpx/0.27.2
2024-09-29 03:40:43.163285,toddl,38.29.145.42,36,55,91,meta-llama/Meta-Llama-3-8B-Instruct,chat-8a841073888f407791ee562584d80dc0,python-httpx/0.27.2
2024-09-29 03:40:58.395575,toddl,38.29.145.42,36,64,100,meta-llama/Meta-Llama-3-8B-Instruct,chat-a85d29b887184459902dd1a63f270936,python-httpx/0.27.2
2024-09-29 03:51:35.694063,toddl,38.29.145.42,34,38,72,Qwen/Qwen2.5-72B-Instruct-GPTQ-Int4,chat-c2821c850a0042ff9346b35b30f35ec7,python-httpx/0.27.2
2024-09-29 03:51:42.165327,toddl,38.29.145.42,36,58,94,meta-llama/Meta-Llama-3-8B-Instruct,chat-b8c2e476217a4b9a83edb861ff183d52,python-httpx/0.27.2
2024-09-29 03:55:06.604210,toddl,38.29.145.42,34,38,72,Qwen/Qwen2.5-72B-Instruct-GPTQ-Int4,chat-dc51fdefb9e24509b21e3894cf394c2a,python-httpx/0.27.2
2024-09-29 03:56:51.875617,toddl,38.29.145.42,34,38,72,Qwen/Qwen2.5-72B-Instruct-GPTQ-Int4,chat-bcfea76ad5244b6fb0468443c04f7d4f,python-httpx/0.27.2
2024-09-29 04:02:55.761573,toddl,38.29.145.42,34,39,73,Qwen/Qwen2.5-72B-Instruct-GPTQ-Int4,chat-228c1de0cfb048e2a500f4944638bdec,python-httpx/0.27.2
2024-09-29 04:21:04.107394,toddl,38.29.145.42,34,38,72,Qwen/Qwen2.5-72B-Instruct-GPTQ-Int4,chat-6d1b0c68e8144c279e22d5ab01f22d9f,python-httpx/0.27.2
2024-09-29 04:22:28.821477,toddl,38.29.145.42,38,56,94,meta-llama/Meta-Llama-3-8B-Instruct,chat-3769bbe565c6426492bd2a1511eb1533,python-httpx/0.27.2
2024-09-29 04:22:44.984363,toddl,38.29.145.42,39,45,84,Qwen/Qwen2.5-72B-Instruct-GPTQ-Int4,chat-0a2bb34a0a0b493c84e806d924c5b8fb,python-httpx/0.27.2
2024-09-29 04:23:41.478009,toddl,38.29.145.42,39,62,101,meta-llama/Meta-Llama-3-8B-Instruct,chat-f0881bb810ce4fd1b2374a020a93a7e6,python-httpx/0.27.2
2024-09-29 04:30:10.112640,toddl,38.29.145.42,34,40,74,Qwen/Qwen2.5-72B-Instruct-GPTQ-Int4,chat-a9cc34fc3c7b4d2dadbe4df5ba2a75d1,python-httpx/0.27.2
